Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,Year
10186,Z.H.P. Unlosing Ranger vs Darkdeath Evilman,Role-Playing,T,PSP,NIS America,Nippon Ichi Software,8.0,,0.15,0.15,2010.0
10188,Crush3D,Platform,E10,3DS,Sega,ZoÃ« Mode,6.5,,0.15,0.15,2012.0
10200,NHL 2K10,Sports,E10,PS3,2K Sports,Visual Concepts,6.5,,0.15,0.15,2009.0
10202,Infected,Shooter,M,PSP,Majesco,Planet Moon Studios,7.3,,0.15,0.15,2005.0
10212,Kingdom of Paradise,Role-Playing,T,PSP,Sony Computer Entertainment,Climax Entertainment,7.0,,0.15,0.15,2005.0
10222,de Blob 2,Platform,E,X360,THQ,Blue Tongue,7.8,,0.15,0.15,2011.0
10223,Thor: God of Thunder,Action,T,Wii,Sega,Red Fly Studio,6.4,,0.15,0.15,2011.0
10229,Project Sylpheed: Arc of Deception,Shooter,T,X360,Microsoft,Game Arts / Seta Corporation,6.7,,0.15,0.15,2007.0
10237,Naruto Shippuden: Legends: Akatsuki Rising,Fighting,T,PSP,Namco Bandai,CyberConnect2,5.8,,0.15,0.15,2009.0
10244,Major League Baseball 2K10,Sports,E,DS,2K Sports,Visual Concepts,2.8,,0.15,0.15,2010.0
10259,Ice Age 2: The Meltdown,Platform,E,DS,Sierra Entertainment,Amaze Entertainment,5.5,,0.15,0.15,2006.0
10289,Space Invaders Extreme,Shooter,E,DS,Square Enix,Taito Corporation,8.3,,0.15,0.15,2008.0
10293,FIFA 06: Road to FIFA World Cup,Sports,E,X360,EA Sports,EA Canada,6.1,,0.15,0.15,2005.0
10326,Full Auto,Racing,T,X360,Sega,Pseudo Interactive,7.0,,0.15,,2006.0
10339,RiME,Adventure,E10,NS,Grey Box,Tequila Works,4.5,,0.15,0.15,2017.0
10356,Ys: The Oath in Felghana,Role-Playing,T,PSP,Xseed Games,Nihon Falcom Corporation,8.2,,0.15,0.15,2010.0
10388,Blazing Angels 2: Secret Missions of WWII,Simulation,T,PS3,Ubisoft,Ubisoft Romania,7.2,,0.15,0.15,2007.0
10395,Ridge Racer DS,Racing,E,DS,Namco,Nintendo Software Technology Corporation,6.3,,0.15,0.15,2004.0
