Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,Year
13246,Meitantei Conan & Kindaichi Shounen no Jikenbou: Meguri au Futari no Meitantei,Adventure,,DS,Namco Bandai,Bandai Namco Games,,,0.08,0.08,2009.0
13248,Puzzler Mind Gym 3D,Puzzle,E,3DS,Ubisoft,Ubisoft,,,0.08,0.08,2011.0
13249,Kenka Banchou 6: Soul & Blood,Fighting,,3DS,Spike Chunsoft,Spike Chunsoft,,,0.08,0.08,2015.0
13250,PoPoLoCrois (JP sales),Role-Playing,E,PSP,Agetec,G-Artists,,,0.08,0.08,2005.0
13251,Supremacy MMA,Fighting,M,X360,505 Games,Kung Fu Factory,5.0,,0.08,0.08,2011.0
13252,DaGeDar,Action,E,DS,GameMill,GameMill Entertainment,,,0.08,0.08,2011.0
13253,DanceDanceRevolution,Simulation,E10,X360,Konami,Konami,,,0.08,0.08,2011.0
13254,Ken to Mahou to Gakuen Mono. 2,Role-Playing,,PSP,Acquire,ZeroDiv,,,0.08,0.08,2009.0
13255,Bulletstorm: Full Clip Edition,Shooter,M,XOne,Gearbox Software,People Can Fly,,,0.08,0.08,2017.0
13256,Kaijuu Busters Powered,Action,,DS,Namco Bandai,Bandai Namco Games,,,0.08,0.08,2011.0
13258,Jimmie Johnson's Anything With an Engine,Racing,E10,Wii,Konami,Isopod Labs,,,0.08,0.08,2011.0
13259,Sports Collection,Sports,E,DS,Ubisoft,Ubisoft Pune,,,0.08,0.08,2010.0
13260,Tornado Outbreak,Action,E10,X360,Konami,Loose Cannon Studios,,,0.08,0.08,2009.0
13261,Initial D: Extreme Stage,Racing,,PS3,Sega,Sega,,,0.08,0.08,2008.0
13264,Little League World Series Baseball 2010,Sports,E,PS3,Activision,Now Production,,,0.08,0.08,2010.0
13265,Gintama Gin-Oh Quest: Gin-San ga Tenshoku Shitari Sekai wo Sukuttari,Role-Playing,,DS,Banpresto,Banpresto,,,0.08,0.08,2007.0
13267,NBA 10 The Inside,Sports,E,PSP,Sony Computer Entertainment,SCEA San Diego Studios,6.5,,0.08,0.08,2009.0
13268,One Piece: Romance Dawn,Misc,T,3DS,Namco Bandai Games,Three Rings,,,0.08,0.08,2014.0
13269,Prey the Stars,Action,E,DS,KOEI,Koei Canada,,,0.08,0.08,2008.0
13270,Kamen Rider: Super Climax Heroes,Fighting,,Wii,Namco Bandai Games,Eighting,,,0.08,0.08,2012.0
13272,The Sexy Brutale,Adventure,T,PS4,Badland Games,Tequila Works,,,0.08,0.08,2017.0
13273,Zero: Tsukihami no Kamen,Action,,Wii,Unknown,Grasshopper Manufacture,7.5,,0.08,0.08,2017.0
13274,Tokyo Twilight Ghost Hunters,Visual Novel,T,PSV,Aksys Games,Toybox Games,,,0.08,0.08,2015.0
13275,Legend of Kay Anniversary,Action,E10,PS4,Nordic Games,Neon Studios,,,0.08,0.08,2015.0
13276,Ninjabread Man,Action,E,Wii,Conspiracy Entertainment,Data Design Interactive,,,0.08,0.08,2007.0
13278,"Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 2: Shinseiki Evangelion - Shito, Futatabi",Misc,,DS,D3 Publisher,Bisty,,,0.08,0.08,2008.0
13279,Jikkyou Powerful Pro Yakyuu 15,Sports,,Wii,Konami,PawaPuro Production,,,0.08,0.08,2008.0
13280,SafeCracker: The Ultimate Puzzle Adventure,Puzzle,E,Wii,The Adventure Company,Kheops Studio,,,0.08,0.08,2008.0
13281,Puella Magi Madoka Magica: The Battle Pentagram,Action,,PSV,Namco Bandai Games,ArtDink,,,0.08,0.08,2013.0
13282,Kobitodzukan: Kobito no Fushigi - Jikken Set,Simulation,,3DS,Nippon Columbia,Racjin,,,0.08,0.08,2013.0
13286,Pro Evolution Soccer 2008 (JP sales),Sports,E,DS,Konami,Konami,,,0.08,0.08,2008.0
13287,Pony Friends 2,Simulation,E,Wii,Square Enix,Tantalus Interactive,,,0.08,0.08,2010.0
13289,Diva Girls: Divas on Ice,Sports,E,Wii,505 Games,505 Games,,,0.08,0.08,2009.0
13290,Man vs. Wild,Adventure,T,PS3,Crave Entertainment,Scientifically Proven,,,0.08,0.08,2011.0
13292,My English Coach: Para Hispanoparlantes,Misc,E,DS,Ubisoft,Ubisoft,,,0.08,0.08,2009.0
13294,Cartoon Network: Punch Time Explosion XL,Fighting,E10,Wii,Crave Entertainment,Papaya Studios,,,0.08,0.08,2011.0
13296,Happy Feet Two,Adventure,E,Wii,Warner Bros. Interactive,KMM Games,,,0.08,0.08,2011.0
13297,Qubed,Puzzle,E,X360,Atari,Various,,,0.08,0.08,2009.0
13298,Backyard NBA Basketball,Sports,E,DS,Atari,Mistic Software,,,0.08,0.08,2007.0
13299,Hasbro Family Fun Pack Conquest Edition,Misc,,PS4,Ubisoft,Ubisoft,,,0.08,0.08,2016.0
13300,Loading Human,Adventure,T,PS4,Maximum Games,Untold Games,,,0.08,0.08,2016.0
13302,Samurai Shodown Sen,Fighting,M,X360,Xseed Games,K2 LLC,4.8,,0.08,0.08,2010.0
13303,Bakugan: Rise of the Resistance,Strategy,E10,DS,Activision,Activision,,,0.08,0.08,2011.0
13304,Pop'n Music,Misc,E,Wii,Konami,Konami,,,0.08,0.08,2009.0
13305,Steins;Gate: Darling of Loving Vows,Visual Novel,,X360,5pb,Nitro+,,,0.08,0.08,2011.0
13309,SingStar Apres-Ski Party 2,Misc,,PS3,Sony Computer Entertainment,SCEE London Studio,,,0.08,0.08,2010.0
13310,EyeCreate,Misc,,PS3,Sony Computer Entertainment,London Studios,,,0.08,0.08,2007.0
13312,ToraDora Portable!,Adventure,,PSP,Namco Bandai,Silicon Studio,,,0.08,0.08,2009.0
13313,AKB1/149: Love Election,Simulation,,PS3,Namco Bandai Games,ArtDink,,,0.08,0.08,2013.0
13315,Princess in Love,Simulation,E,DS,THQ,Engine Software BV,,,0.08,0.08,2009.0
13316,Kaidan Restaurant: Ura Menu 100-Sen,Misc,,DS,Namco Bandai,Bandai Namco Games,,,0.08,0.08,2010.0
13318,Shining Resonance Refrain,Role-Playing,T,PS4,Sega,Media.Vision,,,0.08,0.08,2018.0
13319,Yamakawa Shuppansha Kanshuu: Shousetsu Sekaishi B,Misc,,DS,Namco Bandai,Bandai Namco Games,,,0.08,0.08,2007.0
13321,GoldenEye 007,Shooter,T,DS,Activision,n-Space,5.5,,0.08,0.08,2010.0
13323,Super Monkey Ball Adventure,Platform,E,PSP,Sega,Traveller's Tales,,,0.08,0.08,2006.0
13326,Super Robot Taisen OG Saga: Endless Frontier,Role-Playing,T,DS,Atlus,Monolith Soft,,,0.08,0.08,2009.0
13328,R.B.I. Baseball 2017,Sports,,NS,MLB.com,MLB.com,,,0.08,0.08,2017.0
13330,Micro Machines: World Series,Racing,,XOne,Codemasters,Codemasters,,,0.08,0.08,2017.0
13331,Root Letter,Adventure,M,PSV,PQube,Kadokawa Games,,,0.08,0.08,2016.0
13332,Ice Age 2: The Meltdown,Platform,E10,Wii,Vivendi Games,Eurocom Entertainment Software,6.5,,0.08,0.08,2006.0
13334,Captain Tsubasa: New Kick Off,Sports,,DS,Konami,Konami,,,0.08,0.08,2010.0
13341,Virtua Tennis: World Tour (US & Others sales),Sports,E,PSP,Sega,Sumo Digital,8.3,,0.08,,2005.0
13343,Knights Contract,Action,M,X360,Namco Bandai,Game Republic,5.0,,0.08,0.08,2011.0
13344,Little League World Series Baseball: Double Play,Sports,E,Wii,Activision,Now Production,,,0.08,0.08,2010.0
13345,Darksiders II: Deathinitive Edition,Action-Adventure,M,XOne,Nordic Games,Gunfire Games,7.5,,0.08,0.08,2015.0
13346,Dynasty Warriors 9,Action,T,XOne,Tecmo Koei,Omega Force,,,0.08,0.08,2018.0
13347,Order Up!!,Action,E,PS3,Ignition Entertainment,SuperVillain Studios,,,0.08,0.08,2012.0
13349,Line Rider 2: Unbound,Puzzle,E,DS,"Genius Products, Inc.",InXile Entertainment,5.0,,0.08,0.08,2008.0
13351,Looney Tunes: Acme Arsenal,Action,E10,X360,Warner Bros. Interactive,Red Tribe,,,0.08,0.08,2007.0
13354,PAC-MAN and the Ghostly Adventures,Platform,E10,X360,Namco Bandai Games,Monkey Bar Games,,,0.08,0.08,2013.0
13355,Kenshuui Tendo Dokuta,Simulation,,DS,Spike,Spike,,,0.08,0.08,2004.0
13356,Pac-Man and the Ghostly Adventures 2,Platform,E10,3DS,Namco Bandai Games,Monkey Bar Games,,,0.08,0.08,2014.0
13357,Super Sentai Battle: Ranger Cross,Action,,Wii,Namco Bandai,Namco Bandai Games,,,0.08,0.08,2011.0
13358,Disney's Meet the Robinsons,Action,E10,X360,Disney Interactive Studios,Avalanche Software,,,0.08,0.08,2007.0
13361,Sherlock Holmes: Crimes & Punishments,Adventure,M,XOne,Focus Home Interactive,Frogwares,,,0.08,0.08,2014.0
13362,Rapala Fishing Pro Series,Simulation,E,PS4,GameMill,"Concrete Software, Inc.",,,0.08,0.08,2017.0
13363,Ken to Mahou to Gakuen Mono. Final: Shinnyusei wa Ohimesama,Strategy,,PSP,Acquire,ZeroDiv,,,0.08,0.08,2011.0
13365,Ultimate Card Games DS,Strategy,E,DS,Telegames,Unknown,,,0.08,0.08,2008.0
